"","origin","destination","distance","population_origin","gdp_origin","population_destination","gdp_destination","trade","x_jj","trade_sum_destination"
"13172","MRT","KHM",12588.7977112053,2.64451289176941,1081.16821289062,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13173","MUS","KHM",6273.47435815315,1.18687295913696,4469.3251953125,12.7443809509277,3668.39819335938,0.0304109305389477,1632.50710449797,2035.89108886141
"13174","MYS","KHM",1068.65051315765,22.997184753418,90319.7421875,12.7443809509277,3668.39819335938,78.4110813896146,1632.50710449797,2035.89108886141
"13175","NCL","KHM",7706.10502550011,0.213220342993736,2682.34692382812,12.7443809509277,3668.39819335938,0.0100000001772217,1632.50710449797,2035.89108886141
"13176","NGA","KHM",10793.0830352104,124.772605895996,45983.6015625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13177","NIC","KHM",17085.7650049728,4.92028570175171,3936.32788085938,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13178","NLD","KHM",9610.35410811691,15.9254312515259,386510.5,12.7443809509277,3668.39819335938,2.34000004146988,1632.50710449797,2035.89108886141
"13179","NOR","KHM",9139.28905547485,4.49100017547607,166906.203125,12.7443809509277,3668.39819335938,0.370000006557203,1632.50710449797,2035.89108886141
"13180","NPL","KHM",2707.61452917099,24.4306163787842,5488.689453125,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13181","NZL","KHM",9192.05451700058,3.85780000686646,52674.34375,12.7443809509277,3668.39819335938,1.09000001931717,1632.50710449797,2035.89108886141
"13182","OMN","KHM",5140.0215753025,2.44199991226196,19867.880859375,12.7443809509277,3668.39819335938,0.134174702377867,1632.50710449797,2035.89108886141
"13183","PAK","KHM",4026.75615653877,138.080001831055,73320.828125,12.7443809509277,3668.39819335938,3.11378105518296,1632.50710449797,2035.89108886141
"13184","PAN","KHM",17660.0053081203,2.94994807243347,11620.5,12.7443809509277,3668.39819335938,0.140000002481104,1632.50710449797,2035.89108886141
"13185","PER","KHM",19648.4486321175,25.9521903991699,53290.390625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13186","PHL","KHM",1890.0340863102,75.7661437988281,75912.546875,12.7443809509277,3668.39819335938,2.5802370457274,1632.50710449797,2035.89108886141
